player,tm,Wins,Loss,Games Played,Minutes Played,Total Points,PPG,Total Assists,APG,FGA,FGM,FG%,3PA,3PM,3P%,FTA,FTM,FT%,Rebounds,RPG,Total Steals,STLpg,Blocks,BLKpg,Personal Fouls,Turnovers
Jayson Tatum,BOS,34,15,49,1779.51,1301,26.55,277,5.65,968,437,45.14,488,174,35.66,316,253,80.06,424,8.65,60,1.22,26,0.53,108,140
Anthony Davis,LAL,24,18,42,1439.52,1081,25.74,141,3.36,757,400,52.84,94,28,29.79,321,253,78.82,498,11.86,54,1.29,90,2.14,82,93
Derrick White,BOS,35,14,49,1647.15,789,16.1,203,4.14,614,271,44.14,432,164,37.96,101,83,82.18,206,4.2,43,0.88,57,1.16,93,76
Jrue Holiday,BOS,31,13,44,1330.46,483,10.98,162,3.68,402,176,43.78,225,77,34.22,60,54,90.0,194,4.41,43,0.98,19,0.43,69,59
Miles McBride,NYK,28,13,41,953.91,375,9.15,112,2.73,322,136,42.24,188,69,36.7,41,34,82.93,98,2.39,35,0.85,7,0.17,59,29
Rui Hachimura,LAL,25,17,42,1345.51,537,12.79,64,1.52,405,204,50.37,161,68,42.24,79,61,77.22,214,5.1,35,0.83,21,0.5,78,38
Jaylen Brown,BOS,31,14,45,1591.96,1043,23.18,215,4.78,837,387,46.24,272,89,32.72,242,180,74.38,274,6.09,53,1.18,12,0.27,117,118
Rudy Gobert,MIN,29,23,52,1730.27,557,10.71,95,1.83,334,217,64.97,0,0,,182,123,67.58,540,10.38,37,0.71,81,1.56,125,70
Julius Randle,MIN,27,21,48,1563.54,905,18.85,214,4.46,673,316,46.95,221,71,32.13,249,202,81.12,344,7.17,35,0.73,11,0.23,122,136
Al Horford,BOS,27,13,40,1048.13,314,7.85,77,1.92,282,115,40.78,200,70,35.0,16,14,87.5,210,5.25,24,0.6,34,0.85,57,29
Jalen Brunson,NYK,33,17,50,1763.69,1304,26.08,376,7.52,922,451,48.92,292,116,39.73,352,286,81.25,145,2.9,48,0.96,4,0.08,109,121
Anthony Edwards,MIN,29,22,51,1873.16,1388,27.22,231,4.53,1045,466,44.59,504,212,42.06,289,244,84.43,295,5.78,58,1.14,35,0.69,101,176
Karl-Anthony Towns,NYK,32,14,46,1596.99,1119,24.33,153,3.33,759,404,53.23,213,90,42.25,263,221,84.03,626,13.61,44,0.96,37,0.8,160,115
Austin Reaves,LAL,28,16,44,1525.12,816,18.55,268,6.09,603,268,44.44,310,112,36.13,197,168,85.28,188,4.27,50,1.14,8,0.18,86,108
Josh Hart,NYK,33,17,50,1878.7,715,14.3,289,5.78,495,276,55.76,166,57,34.34,130,106,81.54,483,9.66,77,1.54,18,0.36,129,95
Nickeil Alexander-Walker,MIN,29,23,52,1242.12,448,8.62,125,2.4,367,161,43.87,222,88,39.64,52,38,73.08,151,2.9,31,0.6,15,0.29,88,63
LeBron James,LAL,28,18,46,1594.86,1125,24.46,416,9.04,838,432,51.55,256,100,39.06,210,161,76.67,358,7.78,40,0.87,24,0.52,64,174
Jaxson Hayes,LAL,18,10,28,487.12,155,5.54,27,0.96,92,61,66.3,2,0,0.0,44,33,75.0,113,4.04,15,0.54,26,0.93,60,20
Mikal Bridges,NYK,34,17,51,1955.25,928,18.2,166,3.25,769,380,49.41,339,122,35.99,62,46,74.19,158,3.1,50,0.98,27,0.53,74,80
Cameron Payne,NYK,32,13,45,641.77,322,7.16,114,2.53,267,112,41.95,167,65,38.92,37,33,89.19,64,1.42,27,0.6,11,0.24,74,29
Naz Reid,MIN,28,23,51,1324.16,714,14.0,97,1.9,548,265,48.36,271,113,41.7,89,71,79.78,267,5.24,40,0.78,44,0.86,118,61
Jericho Sims,NYK,25,14,39,421.69,64,1.64,22,0.56,46,28,60.87,0,0,,13,8,61.54,129,3.31,8,0.21,10,0.26,46,21
Luke Kornet,BOS,30,16,46,778.78,236,5.13,72,1.57,147,95,64.63,0,0,,61,46,75.41,227,4.93,23,0.5,43,0.93,67,19
Sam Hauser,BOS,29,14,43,855.04,322,7.49,43,1.0,262,115,43.89,226,90,39.82,2,2,100.0,126,2.93,29,0.67,8,0.19,46,16
Donte DiVincenzo,MIN,21,19,40,1057.17,440,11.0,144,3.6,373,148,39.68,279,103,36.92,50,41,82.0,147,3.68,48,1.2,7,0.18,62,71
D'Angelo Russell,LAL,22,21,43,1105.4,558,12.98,221,5.14,471,189,40.13,255,85,33.33,109,95,87.16,120,2.79,42,0.98,17,0.4,82,80
Dalton Knecht,LAL,29,19,48,993.97,452,9.42,42,0.88,353,164,46.46,215,77,35.81,57,47,82.46,147,3.06,16,0.33,3,0.06,63,24
OG Anunoby,NYK,32,17,49,1777.72,802,16.37,99,2.02,627,302,48.17,282,103,36.52,120,95,79.17,231,4.71,69,1.41,43,0.88,113,64
Xavier Tillman,BOS,18,2,20,158.54,23,1.15,6,0.3,35,9,25.71,19,4,21.05,2,1,50.0,34,1.7,5,0.25,3,0.15,13,6
Ariel Hukporti,NYK,13,6,19,149.19,34,1.79,8,0.42,20,14,70.0,0,0,,11,6,54.55,35,1.84,0,0.0,12,0.63,19,11
Mike Conley,MIN,28,19,47,1179.28,387,8.23,216,4.6,329,122,37.08,218,85,38.99,64,58,90.62,126,2.68,58,1.23,9,0.19,67,51
Pacome Dadiet,NYK,10,3,13,83.08,19,1.46,5,0.38,20,6,30.0,14,5,35.71,2,2,100.0,13,1.0,1,0.08,2,0.15,5,1
Jaden McDaniels,MIN,29,23,52,1635.21,571,10.98,89,1.71,486,224,46.09,198,67,33.84,70,56,80.0,285,5.48,74,1.42,46,0.88,152,59
Gabe Vincent,LAL,26,16,42,853.18,226,5.38,53,1.26,208,85,40.87,144,51,35.42,10,5,50.0,53,1.26,28,0.67,10,0.24,87,26
Tyler Kolek,NYK,18,10,28,145.97,53,1.89,22,0.79,47,18,38.3,28,11,39.29,6,6,100.0,15,0.54,7,0.25,1,0.04,12,9
Jordan Walsh,BOS,25,10,35,276.33,56,1.6,11,0.31,56,20,35.71,39,11,28.21,10,5,50.0,40,1.14,9,0.26,8,0.23,18,9
Joe Ingles,MIN,7,5,12,58.22,10,0.83,13,1.08,9,4,44.44,5,2,40.0,0,0,,4,0.33,1,0.08,0,0.0,8,5
Neemias Queta,BOS,27,13,40,579.82,206,5.15,27,0.68,132,87,65.91,2,0,0.0,44,32,72.73,148,3.7,13,0.32,28,0.7,71,25
Bronny James,LAL,11,5,16,64.19,14,0.88,7,0.44,24,4,16.67,10,1,10.0,7,5,71.43,7,0.44,4,0.25,2,0.12,6,5
Jacob Toppin,NYK,12,4,16,48.62,6,0.38,4,0.25,10,3,30.0,2,0,0.0,0,0,,11,0.69,2,0.12,0,0.0,3,2
Payton Pritchard,BOS,35,16,51,1411.46,707,13.86,175,3.43,528,248,46.97,388,161,41.49,59,50,84.75,187,3.67,45,0.88,10,0.2,84,52
Max Christie,LAL,28,20,48,1215.77,420,8.75,73,1.52,309,139,44.98,170,64,37.65,94,78,82.98,138,2.88,36,0.75,22,0.46,76,41
LaMelo Ball,CHO,12,20,32,1067.63,897,28.03,236,7.38,747,311,41.63,391,132,33.76,174,143,82.18,167,5.22,43,1.34,10,0.31,110,118
Lauri Markkanen,UTA,7,31,38,1218.81,733,19.29,64,1.68,559,237,42.4,322,113,35.09,169,146,86.39,236,6.21,28,0.74,15,0.39,68,53
Trae Young,ATL,22,26,48,1731.22,1116,23.25,546,11.38,845,343,40.59,413,140,33.9,339,290,85.55,153,3.19,61,1.27,10,0.21,94,224
Paolo Banchero,ORL,6,13,19,634.86,424,22.32,94,4.95,353,151,42.78,100,29,29.0,147,93,63.27,136,7.16,14,0.74,15,0.79,42,59
Onyeka Okongwu,ATL,20,25,45,1129.86,547,12.16,91,2.02,382,218,57.07,73,21,28.77,121,90,74.38,359,7.98,37,0.82,37,0.82,106,45
Evan Mobley,CLE,38,8,46,1382.23,849,18.46,133,2.89,575,326,56.7,130,50,38.46,192,147,76.56,414,9.0,39,0.85,68,1.48,92,87
Cam Thomas,BRK,8,11,19,614.16,469,24.68,65,3.42,337,151,44.81,144,54,37.5,129,113,87.6,68,3.58,14,0.74,1,0.05,36,51
Alperen Sengun,HOU,23,12,35,1098.39,657,18.77,175,5.0,532,260,48.87,52,11,21.15,168,126,75.0,366,10.46,43,1.23,32,0.91,98,86
Damian Lillard,MIL,24,19,43,1558.24,1075,25.0,319,7.42,740,330,44.59,387,147,37.98,291,268,92.1,200,4.65,50,1.16,9,0.21,76,122
Brandon Ingram,NOP,5,13,18,595.01,400,22.22,93,5.17,333,155,46.55,115,43,37.39,55,47,85.45,100,5.56,16,0.89,11,0.61,45,69
Giannis Antetokounmpo,MIL,24,18,42,1467.71,1328,31.62,251,5.98,876,531,60.62,32,6,18.75,451,260,57.65,518,12.33,33,0.79,57,1.36,103,145
Pascal Siakam,IND,29,21,50,1655.07,1035,20.7,171,3.42,751,401,53.4,212,88,41.51,190,145,76.32,369,7.38,45,0.9,23,0.46,130,65
Walker Kessler,UTA,10,30,40,1208.7,447,11.18,62,1.55,273,193,70.7,7,2,28.57,109,59,54.13,476,11.9,23,0.57,95,2.38,90,60
Franz Wagner,ORL,18,15,33,1081.82,818,24.79,168,5.09,635,292,45.98,210,67,31.9,191,167,87.43,177,5.36,48,1.45,15,0.45,81,74
Stephen Curry,GSW,19,23,42,1342.72,954,22.71,258,6.14,744,321,43.15,458,178,38.86,142,134,94.37,189,4.5,45,1.07,21,0.5,54,123
Cade Cunningham,DET,24,23,47,1676.87,1203,25.6,444,9.45,994,450,45.27,302,107,35.43,232,196,84.48,296,6.3,46,0.98,35,0.74,125,208
Ja Morant,MEM,21,9,30,850.77,620,20.67,225,7.5,470,213,45.32,147,48,32.65,179,146,81.56,125,4.17,40,1.33,9,0.3,56,118
Santi Aldama,MEM,30,13,43,1057.41,544,12.65,109,2.53,436,213,48.85,200,74,37.0,63,44,69.84,290,6.74,35,0.81,23,0.53,45,47
Bradley Beal,PHO,17,20,37,1197.45,642,17.35,127,3.43,491,243,49.49,187,75,40.11,100,81,81.0,125,3.38,41,1.11,23,0.62,98,73
CJ McCollum,NOP,10,28,38,1267.55,836,22.0,145,3.82,699,313,44.78,312,117,37.5,129,93,72.09,137,3.61,30,0.79,20,0.53,88,66
Caris LeVert,CLE,33,5,38,904.12,388,10.21,140,3.68,298,135,45.3,148,60,40.54,83,58,69.88,107,2.82,33,0.87,19,0.5,48,51
