player,tm,Wins,Loss,Games Played,Minutes Played,Total Points,PPG,Total Assists,APG,FGA,FGM,FG%,3PA,3PM,3P%,FTA,FTM,FT%,Rebounds,RPG,Total Steals,STLpg,Blocks,BLKpg,Personal Fouls,Turnovers
Luke Kennard,MEM,27,11,38,841.95,369,9.71,131,3.45,262,124,47.33,174,83,47.7,43,38,88.37,111,2.92,25,0.66,3,0.08,28,41
Christian Koloko,LAL,19,9,28,237.29,59,2.11,12,0.43,42,27,64.29,2,0,0.0,6,5,83.33,60,2.14,7,0.25,8,0.29,31,7
Markieff Morris,DAL,5,2,7,40.67,12,1.71,4,0.57,22,5,22.73,13,2,15.38,0,0,,8,1.14,1,0.14,1,0.14,2,2
David Duke,SAS,0,1,1,8.2,3,3.0,2,2.0,4,1,25.0,1,0,0.0,2,1,50.0,0,0.0,0,0.0,0,0.0,1,0
Riley Minix,SAS,0,1,1,6.75,0,0.0,0,0.0,1,0,0.0,1,0,0.0,0,0,,2,2.0,0,0.0,0,0.0,0,0
Harrison Ingram,SAS,0,2,2,10.52,0,0.0,0,0.0,2,0,0.0,1,0,0.0,0,0,,2,1.0,0,0.0,0,0.0,1,0
Jack McVeigh,HOU,5,1,6,21.42,8,1.33,1,0.17,11,3,27.27,8,2,25.0,0,0,,4,0.67,0,0.0,1,0.17,1,1
Shaedon Sharpe,POR,20,24,44,1339.73,765,17.39,105,2.39,635,283,44.57,270,86,31.85,140,113,80.71,168,3.82,36,0.82,10,0.23,80,83
Stanley Umude,MIL,12,7,19,59.93,12,0.63,2,0.11,20,4,20.0,11,2,18.18,4,2,50.0,14,0.74,3,0.16,2,0.11,6,2
Isaiah Collier,UTA,10,32,42,964.82,271,6.45,232,5.52,278,112,40.29,90,19,21.11,44,28,63.64,122,2.9,34,0.81,8,0.19,91,114
Robert Williams,POR,7,11,18,318.17,102,5.67,20,1.11,68,43,63.24,3,1,33.33,17,15,88.24,108,6.0,11,0.61,31,1.72,28,17
Josh Okogie,PHO,11,21,32,499.14,220,6.88,24,0.75,167,79,47.31,65,25,38.46,51,37,72.55,96,3.0,40,1.25,15,0.47,39,25
Matt Ryan,NYK,13,4,17,61.87,25,1.47,1,0.06,27,9,33.33,16,5,31.25,2,2,100.0,7,0.41,2,0.12,0,0.0,1,3
Jalen Hood-Schifino,LAL,2,0,2,14.14,4,2.0,1,0.5,1,1,100.0,0,0,,2,2,100.0,1,0.5,0,0.0,1,0.5,3,1
Maxwell Lewis,LAL,4,4,8,30.46,7,0.88,2,0.25,7,3,42.86,1,1,100.0,0,0,,2,0.25,1,0.12,0,0.0,1,2
Devin Vassell,SAS,14,20,34,1031.96,549,16.15,102,3.0,480,208,43.33,221,79,35.75,72,54,75.0,123,3.62,40,1.18,17,0.5,54,54
Kevin Love,MIA,12,7,19,206.91,104,5.47,19,1.0,99,35,35.35,58,21,36.21,19,13,68.42,77,4.05,14,0.74,2,0.11,17,13
Trey Murphy,NOP,2,17,19,644.31,384,20.21,46,2.42,292,132,45.21,158,57,36.08,71,63,88.73,86,4.53,20,1.05,13,0.68,44,33
Kenrich Williams,OKC,32,8,40,578.22,221,5.52,42,1.05,183,87,47.54,91,32,35.16,17,15,88.24,131,3.28,25,0.62,5,0.12,61,23
Mason Jones,SAC,2,3,5,27.87,14,2.8,9,1.8,12,6,50.0,6,1,16.67,2,1,50.0,8,1.6,0,0.0,0,0.0,1,1
Joel Embiid,PHI,8,7,15,448.39,369,24.6,66,4.4,260,118,45.38,57,18,31.58,131,115,87.79,121,8.07,12,0.8,15,1.0,34,48
Chris Livingston,MIL,10,3,13,58.62,14,1.08,1,0.08,13,5,38.46,4,0,0.0,6,4,66.67,20,1.54,4,0.31,0,0.0,4,5
TyTy Washington,PHO,0,3,3,26.7,8,2.67,4,1.33,6,3,50.0,3,2,66.67,0,0,,1,0.33,2,0.67,0,0.0,0,1
Bol Bol,PHO,4,11,15,108.03,56,3.73,5,0.33,40,21,52.5,21,6,28.57,12,8,66.67,24,1.6,1,0.07,5,0.33,3,7
Jalen Bridges,PHO,0,5,5,25.11,4,0.8,0,0.0,4,1,25.0,4,1,25.0,2,1,50.0,3,0.6,0,0.0,0,0.0,0,4
Vince Williams,MEM,1,2,3,44.83,16,5.33,9,3.0,19,7,36.84,8,1,12.5,4,1,25.0,11,3.67,0,0.0,2,0.67,9,7
E.J. Liddell,CHI,2,4,6,30.5,15,2.5,3,0.5,8,5,62.5,6,3,50.0,2,2,100.0,5,0.83,1,0.17,0,0.0,8,2
Orlando Robinson,SAC,9,8,17,152.11,51,3.0,16,0.94,45,17,37.78,10,1,10.0,22,16,72.73,38,2.24,6,0.35,3,0.18,22,10
Armel Traoré,LAL,5,4,9,66.68,14,1.56,1,0.11,19,6,31.58,7,0,0.0,7,2,28.57,15,1.67,4,0.44,2,0.22,6,3
Mohamed Bamba,LAC,12,4,16,205.43,61,3.81,11,0.69,58,23,39.66,27,6,22.22,13,9,69.23,60,3.75,8,0.5,19,1.19,33,10
Trendon Watford,BRK,9,8,17,282.95,139,8.18,23,1.35,113,50,44.25,32,9,28.12,37,30,81.08,52,3.06,8,0.47,5,0.29,37,22
JT Thor,CLE,8,1,9,42.48,28,3.11,1,0.11,15,9,60.0,6,3,50.0,8,7,87.5,6,0.67,2,0.22,3,0.33,6,6
PJ Hall,DEN,9,3,12,34.67,11,0.92,2,0.17,10,4,40.0,4,0,0.0,4,3,75.0,13,1.08,0,0.0,1,0.08,5,1
Malcolm Brogdon,WAS,6,15,21,506.71,275,13.1,83,3.95,215,94,43.72,51,16,31.37,82,71,86.59,83,3.95,11,0.52,5,0.24,29,34
Kobe Bufkin,ATL,6,4,10,123.64,53,5.3,17,1.7,47,18,38.3,19,4,21.05,18,13,72.22,21,2.1,3,0.3,2,0.2,9,8
Tristen Newton,IND,1,5,6,9.35,3,0.5,1,0.17,6,1,16.67,3,0,0.0,1,1,100.0,1,0.17,0,0.0,0,0.0,3,1
Isaiah Hartenstein,OKC,27,4,31,907.01,357,11.52,128,4.13,272,152,55.88,13,0,0.0,81,53,65.43,371,11.97,26,0.84,34,1.1,89,55
Elfrid Payton,NOP,0,7,7,143.76,47,6.71,48,6.86,46,23,50.0,1,0,0.0,2,1,50.0,24,3.43,10,1.43,3,0.43,10,20
Moses Brown,IND,3,6,9,45.57,29,3.22,0,0.0,20,13,65.0,0,0,,5,3,60.0,13,1.44,2,0.22,1,0.11,6,6
Cam Spencer,MEM,8,2,10,120.78,40,4.0,16,1.6,30,13,43.33,16,5,31.25,9,9,100.0,17,1.7,3,0.3,1,0.1,11,5
Taze Moore,POR,0,2,2,19.85,6,3.0,1,0.5,10,2,20.0,4,1,25.0,2,1,50.0,8,4.0,2,1.0,0,0.0,0,2
Alondes Williams,DET,0,1,1,3.72,5,5.0,1,1.0,2,2,100.0,1,1,100.0,0,0,,0,0.0,0,0.0,0,0.0,0,0
Cole Swider,DET,0,2,2,13.09,0,0.0,1,0.5,5,0,0.0,5,0,0.0,0,0,,2,1.0,0,0.0,0,0.0,1,0
Justin Edwards,PHI,8,14,22,525.27,178,8.09,31,1.41,143,67,46.85,88,33,37.5,17,11,64.71,68,3.09,17,0.77,7,0.32,46,19
Kristaps Porziņģis,BOS,16,11,27,770.9,517,19.15,55,2.04,367,173,47.14,163,66,40.49,126,105,83.33,189,7.0,21,0.78,44,1.63,76,27
Branden Carlson,OKC,14,3,17,99.92,48,2.82,6,0.35,36,17,47.22,28,12,42.86,2,2,100.0,27,1.59,2,0.12,6,0.35,11,2
Ausar Thompson,DET,16,14,30,618.06,257,8.57,56,1.87,204,105,51.47,32,7,21.88,65,40,61.54,149,4.97,47,1.57,13,0.43,80,40
Justin Minaya,POR,1,5,6,17.62,0,0.0,2,0.33,1,0,0.0,0,0,,0,0,,3,0.5,1,0.17,0,0.0,3,0
Micah Potter,UTA,8,14,22,380.29,82,3.73,16,0.73,69,28,40.58,55,20,36.36,7,6,85.71,84,3.82,5,0.23,9,0.41,28,14
Oscar Tshiebwe,UTA,1,2,3,45.95,14,4.67,0,0.0,6,4,66.67,0,0,,8,6,75.0,20,6.67,4,1.33,0,0.0,10,1
Jae Crowder,SAC,2,5,7,91.54,20,2.86,4,0.57,17,6,35.29,12,3,25.0,6,5,83.33,17,2.43,3,0.43,0,0.0,10,4
Day'Ron Sharpe,BRK,9,21,30,520.16,241,8.03,46,1.53,189,97,51.32,30,6,20.0,53,41,77.36,181,6.03,22,0.73,19,0.63,64,36
Keshad Johnson,MIA,5,5,10,56.97,16,1.6,3,0.3,12,7,58.33,4,1,25.0,6,1,16.67,17,1.7,1,0.1,4,0.4,5,3
Daishen Nix,MIN,3,0,3,13.23,1,0.33,3,1.0,1,0,0.0,1,0,0.0,2,1,50.0,4,1.33,0,0.0,0,0.0,1,4
Mark Williams,CHO,4,19,23,575.34,358,15.57,57,2.48,239,140,58.58,1,0,0.0,100,78,78.0,221,9.61,15,0.65,27,1.17,59,23
Trentyn Flowers,LAC,0,2,2,15.75,9,4.5,0,0.0,9,4,44.44,2,0,0.0,1,1,100.0,4,2.0,0,0.0,0,0.0,3,1
Cam Christie,LAC,2,3,5,28.58,6,1.2,2,0.4,9,2,22.22,6,1,16.67,2,1,50.0,6,1.2,2,0.4,0,0.0,2,2
